Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,2,2,MF,12/19/2022 8:00,2022,2024,Outside Villages,Outside Villages,Northwest,5,-122.3134469,47.71827929,5.30E+14,Townhouse
Construction Permit,5,5,MF,7/31/2019 8:00,2019,2021,Outside Villages,Outside Villages,Northwest,5,-122.3142423,47.71804015,5.30E+14,Rowhouse
Construction Permit,2,2,MF,12/19/2022 8:00,2022,2024,Outside Villages,Outside Villages,Northwest,5,-122.3135776,47.71830009,5.30E+14,Townhouse
Construction Permit,1,1,ADU,10/17/2024 8:00,2024,2025,Outside Villages,Outside Villages,North,5,-122.2845686,47.71793696,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,12/19/2022 8:00,2022,2024,Outside Villages,Outside Villages,Northwest,5,-122.3138168,47.71829685,5.30E+14,Rowhouse
Construction Permit,47,47,MIXED,6/21/2022 8:00,2022,2024,Lake City,Hub Urban Village,North,5,-122.2924844,47.71830458,5.30E+14,Small Efficiency Dwelling
Construction Permit,1,1,DADU,1/12/2022 8:00,2022,2024,Roosevelt,Residential Urban Village,Northeast,4,-122.3142197,47.67851389,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,12/15/2020 8:00,2020,2022,Outside Villages,Outside Villages,North,5,-122.2866416,47.71799957,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,4/14/2021 8:00,2021,2024,Outside Villages,Outside Villages,North,5,-122.2866378,47.71816528,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,4/14/2021 8:00,2021,2024,Outside Villages,Outside Villages,North,5,-122.2866378,47.71816528,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,7/26/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.2860966,47.71836487,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,6/21/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.2869311,47.71832135,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,6/21/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.2869311,47.71832135,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,6/21/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.2869311,47.71832135,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,MF,3/5/2014 8:00,2014,2020,Outside Villages,Outside Villages,North,5,-122.2842073,47.71837415,5.30E+14,Apartment
Construction Permit,1,1,ADU,7/13/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.2861845,47.71860704,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,7/13/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.2861845,47.71860704,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,7/17/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.2862323,47.7187535,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,9/22/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.3077858,47.71843163,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,3/4/2021 8:00,2021,2021,Outside Villages,Outside Villages,East,3,-122.3068411,47.63163227,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,12/7/2020 8:00,2020,2022,Outside Villages,Outside Villages,East,3,-122.2850306,47.63077983,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,1/15/2020 8:00,2020,2020,Outside Villages,Outside Villages,North,5,-122.2897372,47.71865059,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,8/28/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.3157165,47.71914624,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,6/21/2024 8:00,2024,2025,Outside Villages,Outside Villages,Lake Union,6,-122.3560004,47.66454094,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,3,3,MF,4/11/2023 8:00,2023,2024,Roosevelt,Residential Urban Village,Northeast,4,-122.3139725,47.67899604,5.30E+14,Townhouse
Construction Permit,1,1,DADU,12/1/2021 8:00,2021,2023,Outside Villages,Outside Villages,Delridge Neighborhoods,1,-122.3521743,47.5383791,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,8/23/2023 8:00,2023,2025,Outside Villages,Outside Villages,North,5,-122.2876746,47.72216175,5.30E+14,"Accessory Dwelling, Detached"
